Lab_Test,Count
"ELECTROLYTES (Na, K, Cl,HCO3),Serum",1176
CBC + Auto Differential (5 Parts),1048
"RFT's (Urea, Uric Acid, Creatinine)",792
Arterial blood gases (ABG's),593
"C-Reactive Protein (CRP),Serum",459
"LFT (TP, ALP, ALB, T.BILI,D.BILI, IND.BILI, ALT, AST, GGT, A/G ratio)",429
"POTASSIUM,SERUM",353
"High-sensitivity Trop I (hs-trop I),Plasma",319
Urine Analysis,301
PT+APTT / Coagulation Studies,280
"CREATININE,Serum",252
"Total CALCIUM,Serum",239
CBC - special for Dengue,234
"MAGNESIUM, SERUM",187
SODIUM.Serum,99
"Lipase,Serum",98
"Blood Screening CLIA (HbsAg, Anti HCV, HIV, Syphillis, Malaria) Booked only with blood product.",90
ESR (Erythrocytes Sedimentation Rate),86
"Hemoglobin A1c (HbA1c),Whole Blood",86
ProBNP (N-t) II,85
Activated Partial Thromboplastin Time (APTT),82
"LIPID PROFILE (TRIG, CHOL, LDL, HDL, VLDL)",67
"Thyroid-Stimulating Hormone (TSH),Serum",65
Prothrombin Time (PT/INR),64
HbsAg & Anti HCV (ELISA),59
"Amylase,Serum",57
Serum Albumin,47
"Anti HIV I+II,Serum",46
"Anti HCV,Serum",45
"HBsAg quantitative,Serum",44
"Lactate Dehydrogenase (LDH),Serum",43
Procalcitonin,42
"Ionized Calcium,Serum",42
"Phosphorus,serum",40
Blood Urea (BU),39
Reticulocyte Count,34
"25 Hydroxy Vitamin D,Serum",31
"Total Iron-Binding Capacity (TIBC),Serum",31
"IRON,Serum",30
"Dengue NS1 antigen,Serum",30
"Vitamin B-12,Serum",27
"T4 (Thyroxine), Free,Serum",27
CBC + Manual Differential (5 Parts) Includes Hb,26
"Alanine Aminotransferase (ALT),Serum",25
"Anti HBs,Serum",23
"Folic Acid (Folate),Serum",21
"Intact Parathyroid Hormone (PTH-Intact),Serum",21
"Ferritin,Serum",20
"Total Bilirubin,Serum",20
"Thyroid Profile (T3, T4, TSH)",19
Anti HB core total (IgG and IgM),19
"(Immunoglobulin E)(IgE),Serum",19
"Ammonia,Plasma",17
Iron Profile,15
"LACTATE,Plasma",15
"Osmolality(Calculated), SERUM",14
"T3 (Triiodothyronine) FREE,Serum",14
Blood Urea Nitrogen (BUN),13
"Alpha Feto Protein (AFP),Serum",12
"C3,Serum",12
"C4, Serum",12
"Rheumatoid Factor (R.A Factor),Serum",11
Urinary Protein/Creatinine Ratio,11
"OSMOLALITY(Calculated), (Spot URINE)",11
"Carcinoembryonic Antigen (CEA),Serum",11
"CORTISOL,Serum",10
"Hepatitis E (HEV) IgM,Serum",10
"Anti HAV-IgM,Serum",9
"Anti Tissue Transglutaminase IgA,Serum",9
Cell Count + Differential,9
Fibrinogen,9
"Creatine Kinase (CK),Serum",8
"Lacate Dehydrogenase (LDH), fluid",8
"CREATININE, (SPOT URINE)",7
"Uric Acid,Serum",7
Serum Anti Tissue Transglutaminase IgG,7
PROTEIN - FLUIDS,7
"CSF TESTING - COMPREHENSIVE (Includes Glucose, Protein, Cell Count & Differential, Culture)",7
"SODIUM,(SPOT Urine )",6
"Prostate-Specific Antigen (PSA), Total,Serum",6
"Triglycerides,Serum",6
"CA-19.9 ,Serum",6
"PROTEIN, (SPOT Urine )",5
GLUCOSE - FLUIDS,5
"Creatine kinase-MB, serum",5
"Adrenocorticotropic Hormone (ACTH),Plasma",5
"ENA Profile,Serum",4
Hemoglobin (Hb),4
Platelet Count,3
Anti CCP,3
"Immunoglobulin A (IgA),Serum",3
"Immunoglobulin G( IgG),Serum",3
"TOTAL PROTEIN,SERUM",3
"Ceruloplasmin,Serum",3
CSF for ADA,3
"Bicarbonate,Serum",3
"CALCIUM, (SPOTurine )",2
"Prolactin,Serum",2
"Human Chorionic Gonadotropin (hCG) (Pregnanacy),Serum",2
Fluid for ADA,2
"POTASSIUM, (SPOT Urine )",2
"Eosinophil count (Blood, Nasal, Sputum and Urine)",2
Stool for pH & Reducing Substances,2
"Immunoglobulin M (IgM),Serum",2
"Helicobacter Pylori IgG,Serum",2
GLUCOSE (RANDOM),2
Urinary Electrolytes,2
"Lactate Dehydrogenase (LDH),CSF",2
"Direct Bilirubin,Serum",2
"Alkaline Phosphatase (ALP), Serum",2
"CARDIAC PROFILE (LDH, CK, AST, CKMB),Serum",2
Anti Cardiolipin IgM,1
"Anti Phospholipid IgM,Serum",1
Immature Platelet Fraction (IPF%),1
"Anti HDV (Total),Serum",1
"Amylase, Fluid",1
"CHLORIDE, (Spot URINE )",1
"Uric Acid, (Spot URINE )",1
"Protein-Electrophoresis,Serum",1
"Anti HB Core IgM,Serum",1
"Cholesterol,Serum",1
"Cytomegalovirus IgG,SERUM",1
"Cytomegalovirus IgM,Serum",1
"CA-125,Serum",1
"CHLORIDE,SERUM",1
"Haptoglobin,Serum",1
Syphilis,1
Clotting Time,1
Creatinine (Fluid),1
Urea (Fluid),1
Neonatal TSH,1
"T4 (Thyroxine), Total,Serum",1
Anti TPO (Thyroid Peroxidase),1
"Anti HAV-IgG,Serum",1
"Hepatitis E (HEV) IgG,Serum",1
"Anti Measles IgM,Serum",1
"Digoxin,Serum",1
Sodium,1
Pleural Fluid for LDH,1
"Aspartate Aminotransferase (AST),Serum",1
CALCIUM 24hrs Urine,1
"Brucella IgM,Serum",1
Urinary Microalbumin,1
"Anti Hbe,Serum",1
