CPT_Name,Count
Chest High Resolution  (HR Chest),253
Brain Without Contrast,201
Abdomen & Pelvis With Contrast,186
KUB without Contrast,136
Sinus without Contrast,50
"Abdomen, Pelvis & Chest With Contrast",25
Brain With Contrast,24
Abdomen with Contrast,24
Chest with Contrast,23
Neck with Contrast,19
Extremity with 3D Reconstruction,14
Abdomen & Pelvis (Plain),13
Temporal Bone without Contrast,13
Neck Plain,9
CT Scan OnCall Visit Fee,9
Neck & Chest Contrast,6
Abdomen Biphasic Study,5
Pulmonary Angiograph,5
Chest & Abdomen &Pelvis,4
Pelvis with Contrast,4
Extremity without Contrast,3
Angiogram Mesenteric,2
Head & Neck Contrast,2
Temporal With Contrast,1
Cervical Spine without Contrast,1
Sinus with Contrast,1
Angiogram Circle of Wills,1
Angiogram Cerebral,1
Angiogram Peripheral & Lower Limb,1
